City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
142,Vao,NC,2020-05-12 21:59:55,-22.67,167.48,71.89,67,2,18.7,clear sky,0,0
143,Tautira,PF,2020-05-12 21:59:55,-17.73,-149.15,86.0,62,20,6.93,few clouds,0,0
144,Candido Mendes,BR,2020-05-12 21:59:55,-1.45,-45.72,76.66,95,100,3.85,light rain,0,0
145,Touros,BR,2020-05-12 21:59:56,-5.2,-35.46,80.6,83,20,9.17,few clouds,0,0
146,Alekseyevka,RU,2020-05-12 21:59:56,50.63,38.69,54.72,86,95,12.17,light rain,0,0
147,Narsaq,GL,2020-05-12 21:59:56,60.92,-46.05,53.6,32,100,17.22,light rain,0,0
148,Mantua,IT,2020-05-12 21:59:56,45.17,10.78,57.0,78,76,8.99,broken clouds,0,0
149,Radhanpur,IN,2020-05-12 21:59:56,23.83,71.6,81.73,75,0,8.72,clear sky,0,0
150,Qaanaaq,GL,2020-05-12 21:59:57,77.48,-69.36,31.95,89,33,1.48,scattered clouds,0,0
151,Ndele,CF,2020-05-12 21:59:57,8.41,20.65,78.4,64,41,3.15,scattered clouds,0,0
152,Jiamusi,CN,2020-05-12 21:59:57,46.83,130.35,47.37,54,0,12.46,clear sky,0,0
153,Dikson,RU,2020-05-12 21:59:57,73.51,80.55,19.2,95,0,5.35,clear sky,0,0
154,Tuy Hoa,VN,2020-05-12 21:59:57,13.08,109.3,75.61,88,40,4.05,scattered clouds,0,0
155,Quatre Cocos,MU,2020-05-12 21:59:57,-20.21,57.76,73.4,60,40,8.05,scattered clouds,0,0
156,Waitati,NZ,2020-05-12 21:59:57,-45.75,170.57,52.0,75,100,5.01,overcast clouds,0,0
157,Thompson,CA,2020-05-12 21:59:57,55.74,-97.86,51.8,20,20,14.99,few clouds,0,0
158,Sitka,US,2020-05-12 21:58:51,57.05,-135.33,57.2,67,1,6.93,clear sky,0,0
159,Chadan,RU,2020-05-12 21:59:58,51.28,91.58,53.74,71,96,0.36,overcast clouds,0,0
160,Adjumani,UG,2020-05-12 21:59:58,3.38,31.79,68.7,92,100,0.31,light rain,0,0
